postcode,state,primary_suburb,all_suburbs
0200,ACT,"UNIVERSITY","UNIVERSITY"
0800,NT,"DARWIN CITY","DARWIN CITY"
0801,NT,"DARWIN","DARWIN"
0803,NT,"WAGAIT BEACH","WAGAIT BEACH"
0804,NT,"PARAP","PARAP"
0810,NT,"ALAWA","ALAWA|BRINKIN|CASUARINA|COCONUT GROVE|JINGILI|LEE POINT|NSW 2460 LYONS|MILLNER|MOIL|MUIRHEAD|NAKARA|QLD 4858 NIGHTCLIFF|RAPID CREEK|TIWI|WAGAMAN|WANGURI"
0811,NT,"CASUARINA","CASUARINA"
0812,NT,"ANULA","ANULA|BUFFALO CREEK|HOLMES|KARAMA|LEANYER|MALAK|MARRARA|WULAGI"
0813,NT,"KARAMA","KARAMA"
0814,NT,"NIGHTCLIFF","NIGHTCLIFF"
0815,NT,"UNIVERSITY","UNIVERSITY"
0820,NT,"BAYVIEW","BAYVIEW|COONAWARRA|EAST POINT|FANNIE BAY|EATON|LARRAKEYAH|NSW 2469 LUDMILLA|PARAP|STUART PARK|THE NARROWS|THE GARDENS|WINNELLIE|WOOLNER"
0821,NT,"WINNELLIE","WINNELLIE"
0822,NT,"ANGURUGU","ANGURUGU|ANINDILYAKWA|ACACIA HILLS|BEES CREEK|BELYUEN|BLACK JUNGLE|BLACKMORE|BYNOE|BYNOE HARBOUR|BURRUNDIE|CAMP CREEK|CHARLOTTE|CLARAVALE|CHANNEL ISLAND|COBOURG|COLLETT CREEK|COOMALIE CREEK|DALY RIVER|COX PENINSULA|DOCTOR GEORGE MOUNTAIN DOUGLAS-DALY|EAST ARM|EVA VALLEY|FLEMING|FREDS PASS|GALIWINKU|FINNISS VALLEY|FLY CREEK|GOULBURN ISLAND|GUNBALANYA|HUGHES|KAKADU|KOOLPINYAH|LAKE BENNETT|LITCHFIELD PARK|LIVINGSTONE|LAMBELLS LAGOON|LLOYD CREEK|MANDORAH|MANINGRIDA|MARGARET RIVER|MICKET CREEK|MILINGIMBI|MARRAKAI|MIDDLE POINT|MCMINNS LAGOON|MILYAKBURRA|MINJILANG|MOUNT BUNDEY|NSW 2068 NUMBULWAR|OENPELLI|RAKULA|RAMINGINING|NSW 2489 PULARUMPI|POINT STUART|RUM JUNGLE|NSW 2753 ROBIN FALLS|STAPLETON|SOUTHPORT|TIVENDALE|TORTILLA FLATS|THURINGOWA CENTRAL TIWI ISLANDS|TUMBLING WATERS|WAK WAK|WADEYE|NSW 2486 UMBAKUMBA|VERNON ISLANDS|WAGAIT BEACH|WEDDELL|WARRUWI|WEST ARNHEM|WINNELLIE|WICKHAM|WISHART|WURRUMIYANGA"
0828,NT,"BELLBIRD HEIGHTS BENDICK MURRELL BERRIMAH","BELLBIRD HEIGHTS BENDICK MURRELL BERRIMAH|KNUCKEY LAGOON"
0829,NT,"HOLTZE","HOLTZE|PINELANDS"
0830,NT,"ARCHER","ARCHER|DURACK|DRIVER|FARRAR|GRAY|MARLOW LAGOON|MOULDEN|PALMERSTON CITY|SHOAL BAY|QLD 4852 WOODROFFE|YARRAWONGA"
0831,NT,"PALMERSTON CITY","PALMERSTON CITY"
0832,NT,"BAKEWELL","BAKEWELL|BELLAMACK|GUNN|JOHNSTON|MITCHELL|ROSEBERY|ZUCCOLI"
0834,NT,"VIRGINIA","VIRGINIA"
0835,NT,"HOWARD SPRINGS","HOWARD SPRINGS"
0836,NT,"GIRRAWEEN","GIRRAWEEN|HERBERT|HUMPTY DOO"
0837,NT,"MANTON","MANTON|NOONAMAH"
0838,NT,"BERRY SPRINGS","BERRY SPRINGS"
0839,NT,"COOLALINGA","COOLALINGA"
0840,NT,"DUNDEE BEACH","DUNDEE BEACH|DUNDEE DOWNS|DUNDEE FOREST"
0841,NT,"DARWIN RIVER","DARWIN RIVER"
0845,NT,"VIC 3249 BATCHELOR","VIC 3249 BATCHELOR"
0846,NT,"NSW 2795 ADELAIDE RIVER","NSW 2795 ADELAIDE RIVER"
0847,NT,"PINE CREEK","PINE CREEK"
0850,NT,"COSSACK","COSSACK|EMUNGALAN|KATHERINE|KATHERINE EAST|KATHERINE SOUTH|LANSDOWNE"
0851,NT,"KATHERINE","KATHERINE"
